n,set,Xloc,Yloc,Landuse,Rock,Rock_name,Cd,Co,Cr,Cu,Ni,Pb,Zn,Cd_log2,Cd_log10,Cd_ln,Pb_log2,Pb_log10,Pb_ln
157,cal,3.47,5.555,2,2,Kimmeridgian,2.234,13.48,45.2,12.52,29.68,48.4,64,1.159629186,0.349083169,0.803793701,5.596935142,1.684845362,3.879499814
158,cal,1.839,0.995,3,1,Argovian,0.225,4.24,24.88,27.72,10.12,55.6,56,-2.152003093,-0.647817482,-1.491654877,5.797012978,1.745074792,4.018183201
159,cal,1.706,1.165,3,1,Argovian,0.74,4.36,20.4,25.52,8.68,60.8,62.4,-0.434402824,-0.13076828,-0.301105093,5.925999419,1.783903579,4.107589789
160,cal,2.774,1.544,2,3,Sequanian,1.915,8.44,42.32,19.32,20.64,45.72,90.24,0.937344392,0.282168778,0.649717623,5.514753498,1.660106222,3.822535839
161,cal,3.493,5.092,2,1,Argovian,3.421,9.8,52.4,14.8,20.44,34.32,134.4,1.774418104,0.534153074,1.229932906,5.100977648,1.535547279,3.535728275
162,cal,1.695,3.227,1,1,Argovian,1.835,5.88,35.08,10.88,21.44,56.68,97.48,0.875780063,0.263636069,0.607044482,5.824767853,1.753429842,4.037421415
163,cal,4.409,1.084,3,5,Quaternary,1.77,17.32,37.72,18.92,27,48.8,89.2,0.82374936,0.247973266,0.570979547,5.608809243,1.688419822,3.887730313
164,cal,2.596,3.212,2,3,Sequanian,3.995,8.64,49.72,15.92,22,45.16,118.24,1.998195503,0.601516784,1.385043579,5.496973581,1.654753933,3.810211739
165,cal,1.897,1.22,3,1,Argovian,0.26,3.48,16.24,9.24,4.76,27,27.2,-1.943416472,-0.585026652,-1.347073648,4.754887502,1.431363764,3.295836866
166,cal,2.083,1.695,1,2,Kimmeridgian,0.44,6,29.28,11.28,16.68,56.4,54.8,-1.184424571,-0.356547324,-0.820980552,5.817623258,1.751279104,4.032469159
167,cal,3.673,4.278,2,3,Sequanian,1.015,9.28,44,7.36,19.28,34,70.4,0.021479727,0.006466042,0.014888612,5.087462841,1.531478917,3.526360525
168,cal,2.731,3.002,1,2,Kimmeridgian,0.485,9,27.32,6.6,20.92,32.44,57.96,-1.043943348,-0.314258261,-0.723606388,5.019701914,1.511080846,3.479392229
169,cal,4.264,3.391,3,2,Kimmeridgian,2.828,11.16,32.64,79.2,24.96,135.2,132.8,1.49978212,0.451479405,1.039569748,7.078951341,2.130976692,4.906755164
170,cal,3.792,2.707,1,2,Kimmeridgian,1.38,8.16,26.92,6.44,17.12,45.6,55.2,0.464668267,0.139879086,0.322083499,5.510961919,1.658964843,3.819907717
171,cal,3.39,1.048,2,2,Kimmeridgian,1.66,10.12,42.92,24.6,29.32,57.28,123.32,0.731183242,0.220108088,0.506817602,5.839959587,1.758003009,4.047951523
172,cal,3.184,5.075,3,3,Sequanian,0.685,7.08,33.76,11.36,16.32,23.68,53.6,-0.545824107,-0.164309429,-0.378336441,4.565597176,1.374381698,3.16463081
173,cal,3.644,2.677,1,2,Kimmeridgian,0.93,9.56,37.4,6.772,23.12,51.2,56.4,-0.104697379,-0.031517051,-0.072570693,5.678071905,1.709269961,3.935739532
174,cal,3.504,5.13,2,1,Argovian,5.129,8.6,39.24,14.76,18.28,36.8,135.6,2.358677571,0.710032699,1.634910708,5.201633861,1.565847819,3.605497845
175,cal,2.242,3.036,3,3,Sequanian,0.725,10.32,26.32,17,12.72,34.08,56.72,-0.4639471,-0.139661993,-0.321583624,5.09085343,1.532499586,3.528710702
176,cal,3.332,4.628,2,5,Quaternary,0.74,4.52,35.92,96,17.2,59.2,83.2,-0.434402824,-0.13076828,-0.301105093,5.887525271,1.772321707,4.080921542
177,cal,3.498,3.196,2,2,Kimmeridgian,0.99,15.12,32.8,14.5,22.92,36.24,65.6,-0.01449957,-0.004364805,-0.010050336,5.17951105,1.559188189,3.590163481
178,cal,1.883,1.176,3,1,Argovian,0.195,3.92,21.8,25.12,7.52,49.6,43.2,-2.358453971,-0.709965389,-1.63475572,5.632268215,1.695481676,3.903990834
179,cal,3.322,3.001,3,5,Quaternary,1.34,14.32,35,25.3,23.12,44.4,81.2,0.422233001,0.127104798,0.292669614,5.472487771,1.64738297,3.793239469
180,cal,1.047,1.922,2,3,Sequanian,1.24,14.2,43.6,18.32,22.52,52,83.2,0.310340121,0.093421685,0.21511138,5.700439718,1.716003344,3.951243719
181,cal,3.843,3.121,3,5,Quaternary,1.84,10.8,39.52,33.32,35.28,44.4,86,0.879705766,0.264817823,0.609765572,5.472487771,1.64738297,3.793239469
182,cal,1.301,0.599,4,3,Sequanian,0.91,13.24,32.84,21.2,18,64.8,75.2,-0.13606155,-0.040958608,-0.094310679,6.017921908,1.811575006,4.171305603
183,cal,1.106,1.548,2,3,Sequanian,1.27,9.16,52.8,19.12,19.44,65.2,65.2,0.344828497,0.103803721,0.2390169,6.026800059,1.814247596,4.177459469
184,cal,1.114,1.535,2,3,Sequanian,1.48,9.12,58.8,106.8,26.16,226.4,140.4,0.565597176,0.170261715,0.392042088,7.822730148,2.354876423,5.422303346
185,cal,1.511,0.734,2,1,Argovian,1.245,7.84,47.2,22.64,21.96,64.4,71.2,0.316145742,0.095169351,0.21913553,6.008988783,1.808885867,4.165113633
186,cal,1.317,1.501,3,5,Quaternary,1.385,6.44,42.8,120.8,19.64,66.4,94.8,0.469885976,0.141449773,0.32570014,6.053111336,1.822168079,4.195697056
187,cal,1.439,1.523,3,5,Quaternary,1.72,7.24,54.8,16.4,16.52,52.4,75.6,0.782408565,0.235528447,0.542324291,5.711494907,1.719331287,3.958906591
188,cal,1.651,1.157,4,1,Argovian,0.525,3.88,20.84,26.28,8.36,46.4,49.6,-0.929610672,-0.279840697,-0.644357016,5.5360529,1.666517981,3.837299459
189,cal,1.701,1.169,3,1,Argovian,0.69,4.24,23.48,17.04,9.04,52.4,45.6,-0.535331733,-0.161150909,-0.371063681,5.711494907,1.719331287,3.958906591
190,cal,1.857,0.659,2,3,Sequanian,3.53,10.08,52.8,66,24.44,118,124.8,1.819668183,0.547774705,1.261297871,6.882643049,2.071882007,4.770684624
191,cal,1.346,1.954,2,3,Sequanian,0.93,10.56,39.04,9,20.24,38.12,69.2,-0.104697379,-0.031517051,-0.072570693,5.252476214,1.581152892,3.640739079
192,cal,1.354,1.966,2,3,Sequanian,1.165,10.72,43.6,8.64,24,38.32,59.6,0.220329955,0.066325925,0.152721087,5.260025656,1.5834255,3.645971953
193,cal,1.35,1.97,2,3,Sequanian,3.81,10.12,60.8,17.92,27.08,64.8,102,1.929790998,0.580924976,1.337629189,6.017921908,1.811575006,4.171305603
194,cal,1.932,1.004,3,1,Argovian,0.135,4.52,15.08,10.44,5.24,37,32.56,-2.888968688,-0.869666232,-2.002480501,5.209453366,1.568201724,3.610917913
195,cal,1.837,1.037,3,1,Argovian,0.215,3.88,23,23.44,8.16,46.8,44,-2.217591435,-0.66756154,-1.537117251,5.548436625,1.670245853,3.845883203
196,cal,1.69,1.858,3,3,Sequanian,1.775,12.96,38.72,29.76,22.36,54.8,91.6,0.827819025,0.249198357,0.573800423,5.776103988,1.738780558,4.003690194
197,cal,1.72,1.833,3,3,Sequanian,0.585,11.6,31.68,24.36,15.96,50,76.8,-0.77349147,-0.232844134,-0.536143432,5.64385619,1.698970004,3.912023005
198,cal,1.543,2.537,3,2,Kimmeridgian,1.563,10.4,45.2,26.72,28.72,52.4,104,0.644317778,0.193958978,0.446607051,5.711494907,1.719331287,3.958906591
199,cal,2.353,1.274,3,1,Argovian,0.275,4.32,15.4,8.24,4.2,32.56,37.88,-1.862496476,-0.560667306,-1.290984181,5.025028794,1.512684396,3.483084541
200,cal,1.889,2.462,1,2,Kimmeridgian,2.505,10.2,48.4,12.16,31.04,65.2,78.4,1.324810603,0.39880773,0.918288735,6.026800059,1.814247596,4.177459469
201,cal,2.327,2.417,3,5,Quaternary,1.385,9.68,39.72,58.72,22.6,116.48,123,0.469885976,0.141449773,0.32570014,6.86393845,2.066251362,4.757719584
202,cal,2.504,1.965,2,2,Kimmeridgian,1.79,10.44,41.84,19.92,25.64,62.36,80.32,0.839959587,0.252853031,0.58221562,5.962549023,1.794906107,4.132924044
203,cal,2.599,1.996,3,2,Kimmeridgian,2.115,13.16,43.08,61.32,53.2,172.12,133.88,1.080657663,0.325310372,0.749054812,7.427270935,2.235831337,5.148191908
204,cal,2.561,1.984,2,2,Kimmeridgian,1.63,13.56,51.36,18.08,42.92,63.16,77.4,0.704871964,0.212187604,0.488580015,5.980939266,1.800442121,4.145671189
205,cal,2.898,1.274,3,1,Argovian,2.7,6.52,32.76,15.56,15,38.28,99.6,1.432959407,0.431363764,0.993251773,5.258518925,1.582971929,3.644927567
206,cal,2.902,1.263,3,1,Argovian,4.495,10.32,39.16,10.24,22.64,32.92,101.68,2.168321116,0.652729696,1.502965668,5.040892431,1.517459827,3.494080376
207,cal,3.085,1.214,3,3,Sequanian,0.765,7.68,18.52,37.6,11.28,68.4,86.2,-0.386468347,-0.116338565,-0.267879445,6.09592442,1.835056102,4.225372825
208,cal,3.046,1.205,3,3,Sequanian,0.4,11.16,21.64,9.6,13.36,32.76,44,-1.321928095,-0.397940009,-0.916290732,5.033863452,1.515343893,3.489208259
209,cal,3.025,1.201,3,3,Sequanian,0.32,5.6,18.52,12.92,7.2,40.2,43.72,-1.64385619,-0.494850022,-1.139434283,5.329123596,1.604226053,3.693866996
210,cal,2.04,3.153,3,1,Argovian,0.655,5,16.56,17.2,8.24,41.88,51.24,-0.610433188,-0.1837587,-0.423120043,5.388189537,1.622006673,3.734808386
211,cal,2.234,2.737,2,2,Kimmeridgian,1.11,14.6,39.28,10.28,24.44,47.8,71.12,0.150559677,0.045322979,0.104360015,5.578938713,1.679427897,3.867025639
212,cal,2.22,2.732,2,2,Kimmeridgian,0.77,12.28,43.48,16,23.88,44.4,62.28,-0.377069649,-0.113509275,-0.261364764,5.472487771,1.64738297,3.793239469
213,cal,2.224,2.728,2,2,Kimmeridgian,1.205,13.8,46.84,11.36,27.44,41.04,85.52,0.269033146,0.080987047,0.186479567,5.358958826,1.613207352,3.714547201
214,cal,2.58,2.311,2,2,Kimmeridgian,1.555,8.84,40.16,15.4,23.92,51.24,77.56,0.63691458,0.191730393,0.441475546,5.679198571,1.709609121,3.936520477
215,cal,2.254,3.045,3,3,Sequanian,0.575,9.68,27.12,31.8,13.2,54.28,66.92,-0.798366139,-0.240332155,-0.553385238,5.762348816,1.734639839,3.994155835
216,cal,2.656,2.656,3,2,Kimmeridgian,0.525,12.52,26.12,79.2,18,138.56,91.48,-0.929610672,-0.279840697,-0.644357016,7.114367025,2.141637875,4.931303445
217,cal,3.465,1.393,3,3,Sequanian,0.705,12.52,28.72,48.72,17.6,86.68,96.6,-0.504304837,-0.151810883,-0.349557476,6.437627248,1.937918903,4.462223177
218,cal,2.553,3.314,3,3,Sequanian,0.99,8.8,38.72,9.28,15.72,38,60.12,-0.01449957,-0.004364805,-0.010050336,5.247927513,1.579783597,3.63758616
219,cal,2.538,3.314,3,3,Sequanian,1.655,8.96,50.6,31.52,17.32,90.36,81.6,0.726831217,0.218797998,0.503801009,6.497612366,1.955976222,4.503801692
220,cal,2.402,3.979,3,1,Argovian,0.515,4.08,30.12,13.12,8.2,26.96,43.2,-0.957355663,-0.288192771,-0.663588378,4.752748591,1.430719888,3.294354286
221,cal,2.456,3.99,3,1,Argovian,0.35,3.272,26.32,11.6,4.92,27.68,37.16,-1.514573173,-0.455931956,-1.049822124,4.790772038,1.442166086,3.320710131
222,cal,2.537,3.768,3,1,Argovian,0.23,3.792,18.2,8.72,5.68,26.84,32.08,-2.120294234,-0.638272164,-1.46967597,4.746312766,1.428782511,3.289893312
223,cal,2.584,3.649,3,5,Quaternary,0.305,3.72,18,17.12,5.6,48.4,44.8,-1.713118852,-0.515700161,-1.187443502,5.596935142,1.684845362,3.879499814
224,cal,3.887,1.663,3,2,Kimmeridgian,1.535,15.2,40.72,29.6,32.4,56.8,85.6,0.618238656,0.18610838,0.428530381,5.827819025,1.754348336,4.039536326
225,cal,4.412,1.088,3,5,Quaternary,1.53,17.72,39.52,17.72,26.4,47.6,80.8,0.613531653,0.184691431,0.425267735,5.572889668,1.677606953,3.862832761
226,cal,2.795,3.645,3,5,Quaternary,0.3,4.24,17.32,13.4,6.32,37.76,27.12,-1.736965594,-0.522878745,-1.203972804,5.23878686,1.577031986,3.631250341
227,cal,2.837,3.679,3,5,Quaternary,0.425,5.08,22.72,4.68,8,22.56,31.48,-1.234465254,-0.37161107,-0.85566611,4.495695163,1.353339095,3.116178427
228,cal,2.832,3.676,3,5,Quaternary,0.36,6.68,26.12,4.44,11.8,18.96,28.92,-1.473931188,-0.443697499,-1.021651248,4.244887059,1.277838333,2.942331497
229,cal,3.308,2.963,3,5,Quaternary,1.06,17.32,36,28,23.92,50,78.4,0.084064265,0.025305865,0.058268908,5.64385619,1.698970004,3.912023005
230,cal,3.422,2.851,3,3,Sequanian,0.9,9.52,38.72,49,26.2,70.4,94.8,-0.152003093,-0.045757491,-0.105360516,6.137503524,1.847572659,4.254193263
231,cal,3.692,2.43,1,2,Kimmeridgian,1.61,5,19.4,9.44,8.76,42.8,31.16,0.687060688,0.206825876,0.476234179,5.419538892,1.631443769,3.756538103
232,cal,4.331,1.449,3,5,Quaternary,0.95,12,29.2,19.6,18.72,37.88,61.2,-0.074000581,-0.022276395,-0.051293294,5.243364426,1.57840997,3.634423268
233,cal,4.333,1.455,3,5,Quaternary,0.82,10.32,29.8,32.1,16.72,63.2,67.6,-0.286304185,-0.086186148,-0.198450939,5.981852653,1.800717078,4.146304301
234,cal,4.502,1.167,3,5,Quaternary,0.86,12.12,28.4,12.7,20.12,37.08,61.6,-0.217591435,-0.065501549,-0.15082289,5.212569339,1.569139725,3.613077741
235,cal,3.228,3.617,3,2,Kimmeridgian,1.835,13.32,47.4,45.92,24,80.4,90,0.875780063,0.263636069,0.607044482,6.329123596,1.905256049,4.387014176
236,cal,3.768,2.775,1,2,Kimmeridgian,0.22,10.8,26.32,6.672,17.52,31.88,45.2,-2.184424571,-0.657577319,-1.514127733,4.994579724,1.503518313,3.461978854
237,cal,3.768,2.675,1,2,Kimmeridgian,1.095,12.12,41.32,6.2,28.8,46.8,56.8,0.13093087,0.039414119,0.090754363,5.548436625,1.670245853,3.845883203
238,cal,3.798,2.694,1,2,Kimmeridgian,0.995,9.68,32.8,5.38,19.12,51.2,54,-0.007231569,-0.002176919,-0.005012542,5.678071905,1.709269961,3.935739532
239,cal,4.59,1.414,3,2,Kimmeridgian,0.96,11.72,35.2,16.4,21.92,30.76,64.8,-0.058893689,-0.017728767,-0.040821995,4.942983598,1.487986331,3.426215145
240,cal,4.571,1.407,3,2,Kimmeridgian,1.4,10.72,38.64,15.24,26.4,38.4,70.8,0.485426827,0.146128036,0.336472237,5.263034406,1.584331224,3.64805746
241,cal,4.745,1.372,3,2,Kimmeridgian,0.69,11.96,35.64,16.44,23.68,34.12,66.4,-0.535331733,-0.161150909,-0.371063681,5.092545742,1.533009022,3.529883723
242,cal,4.788,1.647,3,2,Kimmeridgian,0.72,8.8,34.08,11.4,26.72,32.68,63.2,-0.473931188,-0.142667504,-0.328504067,5.030336078,1.514282048,3.48676327
243,cal,2.974,4.937,2,1,Argovian,2.26,5.88,36.44,12.64,21.52,36.28,77.6,1.176322773,0.354108439,0.815364813,5.181102551,1.559667278,3.591266625
244,cal,2.906,4.922,1,1,Argovian,1.13,4.32,20.32,5.92,13.2,21.6,32.84,0.176322773,0.053078443,0.122217633,4.432959407,1.334453751,3.072693315
245,cal,3.109,4.729,3,1,Argovian,0.645,3.124,22.68,8.4,8.88,28.56,42.4,-0.632628934,-0.190440285,-0.438504962,4.835924074,1.455758203,3.352007137
246,cal,3.04,4.713,3,1,Argovian,0.63,3.668,23.96,7.24,9.36,26,36.64,-0.666576266,-0.200659451,-0.46203546,4.700439718,1.414973348,3.258096538
247,cal,3.919,3.466,3,5,Quaternary,0.86,9.76,28.4,12.8,17.48,28.6,58.8,-0.217591435,-0.065501549,-0.15082289,4.837943242,1.456366033,3.353406718
248,cal,4.189,3.045,3,4,Portlandian,1.645,8.08,46.4,35.6,20.32,67.6,90.4,0.718087584,0.216165902,0.497740384,6.078951341,1.829946696,4.213607983
249,cal,3.652,4.312,1,3,Sequanian,3.149,10.72,51.2,8.24,27.72,56,98,1.654893757,0.498172661,1.147084942,5.807354922,1.748188027,4.025351691
250,cal,3.894,3.805,3,5,Quaternary,0.552,14.32,29,50,20.12,91.2,79.2,-0.857259828,-0.258060922,-0.594207233,6.510961919,1.959994838,4.513054897
251,cal,3.917,3.773,3,5,Quaternary,1.568,13.56,30.36,18.4,22.28,43.6,71.6,0.648925559,0.195346058,0.449800922,5.44625623,1.639486489,3.77505715
252,cal,3.925,3.779,3,5,Quaternary,0.855,14.24,29.2,11.4,21,29.68,59.6,-0.226003675,-0.068033885,-0.15665381,4.891419187,1.472463897,3.390473418
253,cal,4.252,3.292,3,2,Kimmeridgian,0.733,11.8,26,39.2,22.24,65.6,74,-0.448114897,-0.134896025,-0.310609577,6.03562391,1.816903839,4.183575696
254,cal,4.292,3.29,3,2,Kimmeridgian,2.08,11.92,31.68,71.6,28.64,52.8,110.8,1.056583528,0.318063335,0.732367894,5.722466024,1.722633923,3.966511191
255,cal,4.283,3.278,3,2,Kimmeridgian,0.844,13.88,37.12,21.04,26.48,34.68,90,-0.244685096,-0.073657553,-0.169602784,5.116031993,1.540079089,3.546163152
256,cal,3.53,4.999,1,1,Argovian,0.49,7.44,34.52,4.64,16.76,31.64,56.8,-1.029146346,-0.30980392,-0.713349888,4.983677695,1.500236475,3.454422143
257,cal,4.07,4.157,3,3,Sequanian,1.916,14.36,47.6,45.6,28.44,50,90.8,0.938097561,0.282395505,0.65023968,5.64385619,1.698970004,3.912023005
258,cal,4.61,3.315,1,2,Kimmeridgian,1.384,12.68,30.76,7.48,20.72,48,46.8,0.468843943,0.14113609,0.324977857,5.584962501,1.681241237,3.871201011
259,cal,3.605,5.345,3,3,Sequanian,0.849,9.04,29.48,18.4,17.56,35,58,-0.236163541,-0.07109231,-0.163696093,5.129283017,1.544068044,3.555348061
